Gene	C_L_HS37	C_L_HS38	H_L_HS46	C_M_HS61	C_M_HS62	H_L_HS64	H_L_HS65	H_M_HS66	H_M_HS67	C_M_HS87	C_L_HS90	H_M_HS93
LOC116521314	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505676	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521316	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505678	27	4	10	9	0	4	0	8	23	14	12	5
KNOP1	181	64	103	88	22	65	53	35	73	68	69	115
VHL	642	228	187	167	84	274	128	141	157	152	138	160
CCDC159	60	24	14	24	0	19	18	19	0	0	17	75
LOC116522505	18	90	57	85	30	5	71	49	37	0	22	35
ITGA5	577	158	270	242	77	358	258	219	499	61	255	127
LOC116522507	6	0	0	1	0	6	0	0	76	0	0	1
LOC116522503	60	23	20	18	8	61	25	20	6	8	13	13
LOC116522502	0	0	0	0	0	0	0	0	0	0	0	0
RDM1	25	15	16	27	0	21	8	9	0	0	4	16
LOC116522509	30	10	12	11	3	8	11	4	5	0	14	13
ATP1B4	12	8	4	0	3	0	0	0	0	0	10	2
GLP2R	304	177	158	131	29	158	77	90	95	0	84	57
LOC116505680	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504502	92	0	0	0	0	25	24	0	0	0	0	0
LOC116504504	406	105	58	81	32	125	92	85	46	34	58	76
SWAP70	485	187	209	177	75	293	147	194	116	46	150	147
MERTK	408	151	122	122	42	275	126	198	60	96	80	126
LOC116514843	75	29	52	18	26	67	28	38	61	0	79	118
TDRD5	9	14	0	13	0	104	0	0	0	0	0	3
TDRD6	75	19	13	14	8	15	14	18	3	9	16	24
TDRD7	304	198	90	211	47	180	134	217	23	53	142	128
ABI3	44	17	17	6	0	35	2	20	0	0	8	6
TDRD1	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	742	244	294	197	69	426	201	224	313	71	161	229
C2CD5	1561	864	524	500	159	770	361	461	445	167	442	309
STARD13	633	278	536	208	94	534	267	641	483	226	642	321
LOC116520615	0	0	0	0	0	0	0	0	0	0	0	0
GPM6B	50	27	23	17	0	34	24	23	4	10	6	23
SEC23B	273	141	141	151	58	135	121	111	69	29	210	137
TDRD9	0	0	0	0	0	0	0	0	0	0	0	0
CFAP221	0	0	4	0	0	0	0	0	0	0	0	0
LOC116508174	171	71	61	32	21	81	26	48	13	33	47	61
CMTM4	64	12	48	7	0	28	8	24	4	0	19	24
LOC116505456	0	0	0	0	0	0	0	0	0	0	0	0
SH3BGRL	676	368	300	285	145	569	249	271	188	317	164	177
GALM	147	79	38	95	33	60	35	45	52	24	51	71
LOC116505451	5	0	0	0	0	0	0	0	0	0	0	0
LOC116508172	121	33	26	19	4	24	0	7	0	7	13	10
LAMB1	398	116	198	67	27	196	118	156	420	0	66	102
FAM241A	120	28	65	20	6	62	21	36	7	0	6	22
GALC	194	34	75	42	16	128	45	58	52	0	37	112
SI	474	214	131	655	146	286	279	1059	0	171	459	246
LOC116505458	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508179	0	0	0	0	0	0	0	328	0	0	0	0
LOC116513312	0	0	6	0	0	0	0	0	0	0	0	0
LOC116513313	0	0	0	2	4	0	0	0	0	0	0	3
LOC116521370	0	0	0	0	0	0	0	0	0	0	0	0
SLX4IP	16	2	0	7	0	6	4	0	0	0	0	0
STRA6	53	12	0	0	0	14	8	0	0	0	96	0
STRA8	0	0	0	0	0	0	0	0	0	0	0	0
LOC116515356	699	136	170	117	90	158	165	120	188	29	130	126
FAM241B	102	29	33	18	11	30	28	20	33	0	25	27
TLCD1	281	45	38	58	39	82	74	24	135	16	27	17
CACNA1C	5	3	6	4	0	6	5	2	6	0	0	0
C5H1orf116	204	34	106	36	26	211	49	167	46	58	67	30
ATG14	258	99	62	36	26	88	24	42	42	59	72	71
STIP1	3415	892	2092	1227	511	2367	2160	1600	2613	725	861	1392
ARV1	51	24	39	17	10	43	9	18	0	0	11	18
FAM110B	9	0	0	3	0	5	8	5	0	0	0	0
FAM110C	483	70	140	93	38	151	96	192	49	4	55	87
ZBTB24	213	91	164	79	6	143	79	86	109	60	66	90
LOC116505509	0	7	2	0	0	11	5	7	0	0	0	2
PIAS1	433	258	132	128	41	225	80	110	60	106	98	119
ARFGEF2	922	390	500	320	95	543	195	469	292	162	332	369
ARFGEF1	900	358	237	191	72	320	137	195	81	69	199	296
PIAS2	518	238	195	187	31	119	112	73	221	58	152	187
LOC116505506	49	7	3	0	0	9	5	5	0	0	4	3
TRIB2	33	26	135	28	9	61	51	77	126	31	18	21
KCNA4	0	0	0	0	0	0	0	0	0	0	0	0
VPS8	229	118	44	111	14	74	41	65	0	0	73	77
LOC116519302	0	0	0	0	0	0	0	0	0	0	0	0
SRSF3	2232	625	416	548	207	485	348	277	468	261	319	229
LOC116512994	0	0	0	0	0	2	0	0	0	0	0	0
LGALSL	44	7	20	7	2	17	4	11	26	8	24	11
LOC116517911	0	0	0	0	0	0	0	0	0	0	0	0
LOC116504583	42	29	19	18	7	47	24	26	20	13	30	24
LOC116520710	16	9	12	0	0	6	2	3	0	5	4	6
SRSF1	1590	287	252	319	138	283	219	221	345	53	208	180
SRSF6	898	353	589	395	108	744	493	524	652	291	278	577
TRNAE-CUC-6	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509038	840	235	312	214	94	210	203	133	318	147	235	183
CES2	8199	2858	3256	3204	1701	4507	3851	3443	2859	1814	3425	3679
SRSF7	309	105	90	126	22	190	163	104	85	137	75	134
RAPSN	135	35	33	41	10	97	58	32	22	0	33	21
MED27	357	80	65	95	28	79	54	52	187	7	45	68
LOC116517811	42	14	20	7	5	45	11	7	0	0	22	12
MED25	575	142	126	147	47	162	111	98	138	28	140	104
LOC116517817	4463	1085	1056	954	583	1055	1004	961	679	655	700	896
MED23	265	131	114	97	18	102	79	94	72	50	153	142
LOC116517815	218	30	57	31	21	51	30	17	102	0	39	30
LOC116517814	33	6	20	6	0	14	9	8	0	0	13	0
LOC116509177	2	0	2	0	0	2	0	3	0	0	0	2
SLC44A2	741	305	238	308	83	290	156	235	232	128	218	332
SLC44A1	731	274	349	173	27	445	174	235	175	37	111	195
LOC116517818	1940	397	1061	703	383	868	353	776	373	297	85	328
LOC116513885	11	8	2	0	0	0	0	0	0	0	9	0
MED28	370	55	190	39	22	63	25	31	74	12	131	18
MED29	556	83	103	87	54	101	112	57	115	28	67	59
LOC116503881	776	335	704	130	48	435	361	795	597	25	188	331
LOC116503880	113	47	47	0	0	36	30	46	19	0	29	38
LOC116503883	57	31	28	21	4	98	65	28	94	0	10	23
LOC116503885	1007	323	239	151	56	88	179	246	58	142	227	228
LOC116503884	177	73	88	14	0	51	68	69	34	0	29	60
LOC116503886	34	48	5	3	3	6	3	0	0	0	5	7
GPR61	0	0	0	0	0	0	0	0	0	0	0	0
GPR62	0	0	0	1	0	0	0	0	7	0	0	1
GPR65	0	0	5	0	3	13	0	0	0	0	0	0
TMEM101	50	28	17	16	5	24	5	15	18	2	13	9
CLNS1A	1357	244	236	210	80	256	168	150	240	111	140	141
PNPT1	177	85	70	81	9	71	34	84	0	29	95	72
CEMIP	39	3	16	2	4	10	16	8	5	0	0	9
SSR4	4681	1011	879	827	535	1121	981	683	1186	494	1073	905
LGALS3	391	133	99	183	74	161	198	103	189	62	98	99
ERH	581	122	96	121	35	108	65	98	28	126	127	135
ERG	54	14	23	7	3	15	5	12	7	0	12	7
ERF	235	73	183	45	11	138	55	47	153	10	45	39
LGALS8	227	104	118	85	38	145	72	138	92	23	96	89
LOC116509741	62	29	59	38	11	42	27	14	39	0	11	8
LDAH	181	89	60	23	11	33	31	38	0	9	26	33
XRRA1	9	0	0	3	0	0	0	0	0	0	0	0
CNGB3	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A12	96	37	22	32	11	26	26	13	40	7	53	35
SLC2A13	61	6	27	2	0	3	0	3	5	0	6	5
RCCD1	597	25	25	13	30	23	22	14	74	6	10	18
FSD1	3	0	0	0	0	0	0	0	0	0	0	0
RMC1	155	63	65	43	16	92	41	57	31	8	70	46
ABCA12	0	0	0	0	6	0	0	0	0	0	0	0
LOC116517760	1235	555	316	285	102	398	276	265	254	194	196	232
SLC25A31	0	0	0	0	0	0	0	0	0	0	0	0
LOC116517764	8	5	20	20	0	41	7	7	0	0	16	25
LOC116505307	21	0	1	0	0	2	0	1	0	0	0	0
GIT1	940	89	98	52	96	113	116	54	227	21	35	49
LOC116503083	9	0	13	0	0	3	3	25	6	24	2	0
GIT2	788	81	89	45	28	115	63	53	122	10	82	35
CASC1	53	3	12	2	4	14	7	5	6	0	0	8
LOC116514669	0	0	0	0	0	0	0	0	0	0	0	0
CASC3	2478	785	630	589	201	731	600	418	553	399	509	547
LOC116508551	0	0	0	0	0	0	0	0	0	0	0	0
LOC116511644	8	0	3	0	0	0	4	0	9	0	0	0
LOC116507747	0	0	0	0	0	0	0	0	0	0	0	0
GTF2F1	1420	362	318	348	156	334	295	218	460	182	245	332
GTF2F2	301	65	103	156	61	137	73	59	192	0	52	50
LOC116505486	0	0	0	0	0	0	0	0	0	0	0	0
GRHPR	1748	475	207	287	173	285	270	347	132	210	256	232
LOC116506826	47	12	0	0	5	9	14	10	0	0	2	0
LOC116516146	44	25	8	17	6	10	10	11	0	0	10	6
ATL2	975	426	501	430	117	648	341	718	372	319	486	476
LOC116512197	290	133	71	108	3	129	73	79	0	0	17	58
LOC116516145	888	208	230	136	50	242	178	155	176	31	80	181
RAD54L2	716	228	120	169	49	174	73	163	158	95	108	106
MPHOSPH9	291	188	55	81	11	85	53	28	61	0	28	36
LOC116512193	335	102	178	154	60	198	108	191	153	171	286	304
LOC116506108	81	5	6	0	0	9	0	3	21	0	7	3
SDS	0	9	2	0	7	8	7	17	58	0	28	11
LOC116519721	2	0	0	0	0	0	0	1	0	0	0	1
LOC116506101	0	10	0	0	0	17	3	0	0	0	0	0
CDC42EP3	7	10	18	4	0	24	7	18	5	0	3	9
LOC116514621	0	0	0	0	0	0	0	0	0	0	0	0
JAZF1	13	4	9	4	0	3	4	0	0	0	2	11
LOC116519720	2	0	0	0	0	0	0	1	0	0	0	1
SDC1	436	225	322	274	69	341	230	364	228	106	297	190
DHPS	71	36	19	32	2	25	15	17	11	0	16	16
SDC3	58	13	27	4	5	20	5	12	3	4	0	24
SDC2	5644	1484	1007	1131	608	1072	1171	1663	672	636	785	1421
LOC116513867	2	0	0	0	0	1	0	0	2	0	0	3
LOC116510680	0	0	0	0	0	0	0	0	0	0	0	0
NIPBL	1646	662	681	435	155	813	378	569	325	154	404	437
CALN1	0	0	0	0	0	0	0	0	0	0	0	0
LOC116513860	169	33	45	49	28	55	67	49	54	48	42	64
LOC116513861	2	1	0	1	0	1	2	2	1	1	1	0
MYO7B	6	3	0	2	2	15	0	3	0	0	0	0
KIF18A	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521379	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A4RG	2566	308	174	363	140	599	318	332	307	119	167	105
LOC116520238	1	0	0	0	0	0	0	1	0	0	1	0
LOC116520693	3	1	0	1	0	0	0	2	0	0	1	0
LOC116519724	5	1	0	0	0	0	2	0	0	0	1	0
TP53BP2	761	311	299	225	79	279	188	296	268	74	265	275
HIRIP3	33	25	27	9	0	17	17	2	26	0	17	17
TP53BP1	1992	300	431	361	134	404	376	231	528	81	216	225
SYDE1	251	64	68	42	25	71	65	32	21	7	37	36
LOC116509820	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509823	0	0	0	0	0	0	0	1	0	0	0	0
SYDE2	520	162	483	163	62	412	275	438	279	75	107	404
DGKI	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509824	0	0	0	0	0	1	0	0	0	0	0	1
LOC116509827	3	1	6	1	0	1	0	2	0	3	2	1
LOC116509826	0	0	0	0	0	0	0	0	0	0	0	0
LOC116509829	2	1	1	1	0	3	1	2	5	0	0	0
LOC116509828	1	2	0	0	1	0	0	0	0	0	0	0
TK2	616	272	186	185	74	240	273	151	163	83	152	216
LOC116521752	0	0	0	0	0	0	0	0	0	0	0	0
P4HTM	91	29	15	28	6	14	9	8	0	0	18	13
IGF2BP2	2295	983	1048	901	223	721	296	415	756	346	562	656
IGF2BP3	79	10	50	16	0	7	0	8	0	6	11	20
TRNAR-ACG-4	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP1	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-ACG-2	0	0	0	0	0	0	0	0	0	0	0	0
TRNAR-ACG-3	0	0	0	0	0	1	1	0	0	0	0	0
ZFAT	212	71	39	41	2	39	13	30	41	0	55	37
LOC116523333	0	0	0	0	0	0	0	0	0	0	0	0
COPG1	812	298	398	379	103	293	260	283	349	126	322	407
LOC116518636	527	135	135	106	30	130	118	72	131	31	84	109
RLN3	0	3	0	0	0	0	0	0	0	0	0	0
COPG2	758	130	181	113	58	110	154	78	183	25	121	109
RLF	562	160	178	95	38	135	91	144	147	47	90	102
MAML1	510	213	288	153	51	291	131	306	122	73	165	171
RENBP	155	33	43	54	4	59	35	39	20	32	32	20
LOC116523534	145	5	27	8	7	22	17	0	9	0	5	3
TSPAN15	0	0	0	0	0	3	0	0	0	0	0	0
ADPRM	0	0	0	0	6	5	0	0	0	0	8	4
HOXB13	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510597	297	79	65	107	36	124	153	128	112	82	70	96
LOC116513146	214	110	97	92	20	107	38	97	11	39	90	72
TRNAS-GCU-9	0	0	0	0	0	1	0	0	0	0	0	0
LOC116510594	0	0	0	0	0	0	0	0	0	0	0	0
PPARA	651	228	224	194	50	205	105	350	173	97	149	365
LOC116504886	0	0	0	0	0	0	0	0	0	0	0	0
STUM	6	6	0	0	0	7	0	0	0	0	0	3
LOC116504880	104	52	43	37	9	40	19	19	7	28	23	27
LOC116521825	0	0	0	0	0	0	0	0	0	0	0	0
C6H11orf65	15	8	11	3	2	11	3	0	0	0	0	6
LOC116509640	0	0	0	3	0	2	0	0	0	0	0	0
C16H9orf116	0	0	0	0	0	0	0	0	0	0	0	0
LOC116517898	0	0	0	0	0	0	0	0	0	0	0	0
LOC116520589	207	37	66	199	19	156	55	30	46	29	26	41
LOC116514997	3	2	1	1	1	2	1	1	0	0	1	2
POGLUT2	547	199	234	246	59	343	183	202	186	95	213	165
ADPRH	521	200	231	204	59	186	150	82	307	21	168	162
HNMT	162	61	36	30	14	94	32	39	5	24	53	22
LOC116523925	1	0	0	0	0	1	0	0	0	0	0	0
LOC116523926	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507503	4	2	0	0	0	2	0	0	0	0	3	4
LOC116523920	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523921	0	0	0	0	0	0	0	0	0	0	0	0
LOC116523922	0	0	4	0	0	0	0	0	0	0	0	0
LOC116523923	2	0	2	0	0	0	0	0	0	0	0	0
CLIP4	256	46	67	18	4	30	19	33	0	8	52	13
C2H3orf84	6	0	0	0	2	0	2	0	0	3	0	0
LOC116523259	62	36	9	20	12	21	9	28	31	3	3	75
LOC116523928	0	0	0	0	0	0	0	0	0	0	0	0
CLIP1	1659	249	384	212	120	379	221	297	636	64	224	251
CLIP2	85	30	45	22	5	27	14	17	27	3	21	37
CLIP3	0	0	0	0	0	0	0	0	0	0	0	0
UGT8	0	0	5	0	0	0	0	0	0	0	0	0
LOC116512737	1	2	0	2	0	0	0	0	0	1	0	0
ANXA6	5986	2081	1531	2170	790	1826	2360	1620	1516	902	1971	2334
ST3GAL1	1626	961	967	747	299	841	646	791	761	445	760	614
BLOC1S6	647	222	152	158	64	167	117	78	123	81	164	102
ST3GAL3	127	26	87	30	5	41	10	19	61	5	43	10
ANXA2	602	218	1051	232	108	666	948	418	1287	159	247	169
ANXA3	0	4	68	3	0	29	23	7	6	9	2	2
BLOC1S2	863	213	221	114	89	284	152	109	96	58	159	159
ANXA1	244	151	454	131	57	293	360	175	327	62	112	112
LOC116510777	1	1	1	0	0	2	0	2	0	0	0	0
LOC116510776	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510775	4	0	2	0	0	0	0	0	0	0	0	0
LOC116506792	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510773	0	0	3	0	0	0	0	0	0	0	0	0
SLC5A8	2	0	38	0	0	0	12	2	0	0	3	0
LOC116510771	0	0	0	0	0	0	0	2	0	0	0	3
FOXI1	0	0	0	0	0	0	0	0	17	0	0	0
SLC5A5	0	0	0	0	0	4	0	0	0	0	0	0
TOMM20L	8	3	0	0	0	3	0	2	0	0	4	2
SLC5A7	0	0	0	0	0	0	0	0	0	0	0	0
SLC5A6	647	267	254	285	86	248	227	219	119	110	204	415
LOC116510779	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510778	0	0	0	0	0	0	0	0	0	0	0	0
SPRED1	268	103	176	71	22	195	108	143	111	39	78	111
MYCBP	106	2	13	11	8	16	5	0	9	0	8	0
SPRED3	3	0	3	0	0	0	0	0	0	0	0	0
SPRED2	149	67	121	44	23	85	53	69	126	45	32	70
RPRM	0	0	1	0	0	0	0	0	0	0	0	0
PHB2	2636	1114	1179	1417	426	1397	1084	895	1144	765	1254	1052
DNAJB9	40	25	40	13	5	23	15	13	0	0	16	19
SLC41A2	109	87	37	14	12	52	40	36	4	13	40	28
SLC41A3	31	5	9	6	0	3	12	7	11	0	5	0
TMEM161B	69	21	41	26	5	40	20	38	20	2	18	18
SLC41A1	56	21	28	22	10	43	15	29	10	0	24	41
LOC116511088	0	0	0	0	0	0	0	0	0	0	0	0
FAM118B	117	67	65	86	22	81	72	41	59	6	34	71
HMOX1	1464	671	743	435	93	321	288	233	193	194	455	310
LOC116507760	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507761	0	0	0	0	0	0	0	0	0	0	0	0
LOC116507762	0	0	0	0	0	0	0	0	0	0	0	0
RELA	2300	482	539	348	216	611	438	288	865	105	256	266
LOC116507768	2	0	0	0	0	0	0	0	2	0	0	0
LOC116507769	6	2	0	0	0	0	0	0	0	0	0	0
TLN2	16	0	6	0	0	0	3	0	0	0	0	0
TLN1	25910	1797	1748	1780	1294	2222	1943	1001	3522	564	1597	761
SLC28A2	0	0	0	0	0	0	0	0	0	0	0	0
SF1	4017	664	1246	1123	336	893	662	569	1503	302	559	878
LOC116507918	262	178	319	108	50	106	87	122	127	142	95	157
PPP1R14B	342	33	39	29	41	37	74	54	103	32	14	40
FAM43B	10	0	4	0	2	2	3	0	0	3	2	0
LOC116521966	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	622	272	164	184	46	183	100	134	58	78	165	196
LOC116521077	8	9	2	0	0	0	4	0	0	0	0	0
LOC116513142	2161	829	485	703	278	821	511	427	579	265	611	437
NCAPH2	34	3	0	0	0	0	0	0	0	0	0	0
LOC116510751	8	3	1	1	0	3	2	2	1	0	1	1
PFKFB3	355	78	475	67	86	250	125	98	6709	141	79	251
MAPK8IP2	8	0	2	0	0	0	2	0	23	0	0	4
LOC116510750	14	0	2	0	0	5	4	5	7	0	3	0
UBAC1	1014	169	142	119	67	146	121	87	146	20	60	76
OFD1	73	19	13	27	10	32	6	24	0	0	10	7
C1H19orf71	0	0	0	0	0	0	0	0	0	0	0	0
UBAC2	428	220	196	260	102	245	216	167	143	166	220	187
TOR2A	47	23	21	10	9	20	7	14	7	0	19	10
LOC116502744	0	0	0	0	0	0	0	0	0	0	0	0
CKMT1A	0	0	0	0	0	0	8	0	37	0	0	0
LOC116504269	9	6	6	5	0	4	7	3	0	0	2	5
TRNAC-GCA	0	0	0	0	0	0	0	0	0	0	0	0
NDC1	262	124	105	150	29	147	116	104	74	60	101	152
NADSYN1	348	118	68	80	30	116	40	75	35	5	77	90
ETV4	6	19	5	6	0	5	3	4	0	0	0	3
SOD2	1386	573	430	500	220	602	355	505	141	334	568	394
LOC116504262	62	51	40	19	11	36	20	21	27	23	25	28
LOC116504263	136	49	68	51	10	38	16	52	30	9	30	33
LOC116504264	186	102	41	90	15	110	64	28	155	14	31	103
LOC116504265	31	14	4	9	3	13	6	2	13	0	5	6
LOC116504266	0	8	27	0	3	23	11	6	16	0	3	3
TMPO	359	117	111	101	37	156	63	79	77	50	47	64
TMEM221	0	0	0	0	0	0	0	0	0	0	0	0
TMEM220	65	26	8	15	0	17	6	10	0	0	10	5
IRX2	0	0	25	0	0	0	13	0	15	0	0	0
TMEM222	1288	560	314	318	87	319	147	261	340	250	290	367
IRX4	0	0	0	0	0	0	0	0	0	0	0	0
EOLA2	22	11	11	6	0	2	5	5	0	0	6	3
LOC116510756	2	0	2	0	0	0	2	0	0	0	0	2
UHRF1BP1L	465	215	291	199	40	237	147	198	80	22	221	224
PRDX2	46	37	11	15	21	21	16	28	0	0	6	57
LOC116505957	0	0	0	0	0	0	0	0	0	0	0	0
NTSR1	0	0	0	0	0	0	0	0	0	0	5	0
RPL13	11342	2064	2952	2895	1580	3598	3661	2017	3465	1201	2340	1548
LOC116519264	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	816	166	185	203	94	247	255	84	298	71	140	251
LOC116519262	0	0	0	0	0	0	0	0	0	0	0	0
LOC116519263	0	0	0	0	0	3	0	2	0	0	0	0
LOC116514613	88	49	72	18	5	213	55	15	52	22	6	23
MON2	986	365	389	286	118	492	211	337	182	143	263	327
PPARG	19	8	30	14	2	21	12	40	0	0	32	37
LOC116519268	10	0	7	0	0	0	3	0	0	0	0	0
LOC116519269	0	0	0	0	0	0	0	0	0	0	0	0
PBX3	0	0	4	0	0	0	2	0	3	0	0	0
PBX2	603	33	107	35	23	44	42	42	183	0	38	21
PBX1	49	24	28	6	4	11	25	16	13	0	11	8
NAT8L	0	0	0	4	0	0	0	0	0	0	0	0
BTK	39	29	25	10	6	42	11	12	10	0	7	4
PBX4	674	237	142	201	51	214	166	152	183	117	114	156
TRNAK-UUU-6	0	0	0	0	0	0	0	0	0	0	0	0
TRNAK-UUU-5	0	0	0	0	0	0	0	0	0	0	0	0
MYDGF	88	89	162	117	35	81	62	13	62	16	102	13
TRNAK-UUU-3	0	0	0	0	0	0	0	0	0	0	0	0
TRNAK-UUU-2	0	0	0	0	0	0	0	0	0	0	0	0
SMIM11A	75	18	16	4	9	40	10	24	0	0	5	12
ROPN1L	7	0	0	2	0	5	5	6	0	0	5	0
CSPP1	120	39	23	10	6	45	3	8	4	0	10	6
LOC116506941	36	8	9	11	3	13	11	6	0	0	13	8
ZC3HC1	397	69	95	57	37	64	79	35	100	11	33	32
CHP1	399	225	441	228	47	239	113	211	107	141	223	165
ITPA	219	75	59	50	26	60	59	36	16	0	40	69
LOC116508764	0	1	0	3	1	3	1	2	1	1	0	1
TAMM41	22	10	3	0	0	5	0	6	0	0	0	2
SEC22B	246	105	182	117	36	78	50	103	76	31	141	113
LOC116502908	701	133	224	260	39	64	273	221	135	180	350	247
RSPH3	0	0	0	0	0	0	0	0	0	0	0	0
NSMAF	479	266	106	150	66	205	99	129	0	9	178	124
LOC116502903	1765	953	796	465	115	906	376	305	760	129	412	294
LOC116502902	9645	4298	3881	3577	1574	5062	4392	3833	4012	2616	3587	2895
LOC116502901	1126	371	471	870	62	1005	365	164	297	289	850	137
LOC116502900	1244	754	586	646	45	675	511	123	557	451	820	67
LOC116502906	55	7	6	10	8	8	9	3	0	0	9	7
LOC116502905	34	0	0	9	5	0	0	5	0	0	3	11
LOC116502904	269	261	98	57	48	222	92	55	79	66	92	86
ACAP3	167	46	24	17	7	31	27	18	17	0	16	7
KIF4A	56	6	8	4	0	26	4	3	0	0	2	0
CPLANE1	500	184	160	149	19	178	62	134	56	56	80	110
CPLANE2	59	3	12	9	0	14	10	7	3	0	13	8
TEX2	779	394	503	345	126	450	227	236	254	113	270	330
LOC116519083	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB3	0	0	0	0	0	0	0	0	0	0	0	0
ARRDC2	2577	419	341	208	206	681	567	762	485	81	237	271
DCPS	33	9	12	6	3	5	20	11	12	0	19	10
PDAP1	1573	113	251	187	108	158	108	82	242	62	60	87
SLCO2A1	387	394	871	545	33	252	366	374	321	173	527	706
MPDZ	116	38	36	18	4	22	5	20	21	0	7	19
LOC116519883	249	19	56	58	21	84	75	78	93	0	54	42
LOC116515853	140	32	32	16	0	24	8	25	0	0	2	18
LOC116521513	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505029	98	32	36	22	8	35	20	20	2	10	25	16
LOC116515857	5	0	5	0	0	0	3	0	0	0	0	2
KLHDC2	496	167	83	95	26	83	86	52	64	33	121	95
HRH3	0	0	0	0	0	0	0	0	0	0	0	0
LOC116505024	15	9	4	6	0	9	0	15	0	0	3	3
HRH1	12	0	0	0	0	2	0	0	0	0	0	2
BMPR2	973	233	314	243	38	297	141	312	497	91	199	338
SERPINI1	130	87	26	77	21	39	62	75	0	35	69	36
LOC116505020	0	0	0	0	0	0	0	0	0	0	0	0
LOC116516932	180	68	100	99	8	87	61	29	63	16	38	34
TTLL2	0	0	3	0	0	0	0	0	0	0	0	0
RRP9	127	41	51	22	17	42	41	11	17	0	33	29
SERPINB5	0	0	0	0	0	0	0	0	0	0	0	0
TBXAS1	48	14	6	5	5	13	11	7	0	0	0	9
INTS5	228	0	16	17	0	32	0	0	24	0	15	6
LOC116503504	2274	1122	693	1246	356	779	972	1249	624	585	1264	1099
ODF2L	73	18	22	49	4	32	28	71	0	17	36	15
RAN	2976	990	731	925	258	975	885	557	1199	477	837	842
LOC116514689	33	18	13	0	2	18	9	3	0	0	0	24
SOX30	5	2	0	0	0	5	0	0	0	0	0	2
LOC116522330	0	0	0	0	0	0	0	0	0	0	0	0
LOC116512411	172	36	55	0	10	14	13	9	0	0	14	10
LOC116518687	950	373	213	268	137	246	197	257	463	128	128	300
LOC116518686	4919	478	523	464	253	812	467	340	783	406	389	309
LOC116514454	1	0	0	0	1	0	1	1	1	1	1	1
TTLL1	46	2	12	25	0	38	24	11	0	0	32	0
LOC116518683	0	0	0	0	0	0	0	0	0	0	0	0
LOC116514453	1	0	0	1	1	0	1	1	1	1	1	0
LOC116522632	0	0	0	0	0	0	0	0	0	0	0	0
NUMBL	26	0	7	3	0	10	8	3	0	0	0	2
DTL	5	8	0	0	0	8	0	0	0	0	0	0
LOC116512145	252	59	99	97	49	206	86	155	10	13	64	193
LOC116514108	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521419	0	0	0	0	0	0	0	0	0	0	0	0
LOC116518689	0	0	0	0	0	0	0	0	0	0	0	0
INTS1	1659	249	297	128	35	289	163	172	148	89	176	88
GET4	1535	407	434	434	151	470	376	231	323	180	354	323
STK31	0	0	0	0	0	0	0	0	0	0	0	0
INTS2	1755	414	343	398	125	493	371	262	495	127	374	292
LOC116515960	2744	482	389	385	329	601	636	351	643	378	362	379
COL27A1	22	2	11	4	0	9	8	6	16	0	5	4
SLC6A6	14963	4717	3912	2478	2399	10086	3774	4484	2200	4069	2708	2905
SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A4	0	0	0	0	0	0	0	0	0	0	0	0
RPL22L1	449	114	92	74	34	103	77	39	143	60	59	113
LMNB1	182	85	46	41	28	110	77	63	24	0	35	35
LOC116523277	0	0	0	0	0	0	0	0	0	0	0	0
LMNB2	431	13	31	25	9	30	29	23	10	0	7	7
LOC116514507	11	3	0	0	0	14	3	4	0	0	0	0
TMEM82	5305	443	323	651	310	646	672	532	722	120	279	366
ISM2	0	0	9	3	0	0	0	4	6	0	4	8
SVOP	53	0	16	13	15	26	24	30	9	20	13	14
NPFFR1	0	0	0	0	0	0	0	0	0	0	0	0
LOC116513451	8	13	2	0	2	17	0	0	0	0	0	0
MRVI1	10	0	19	3	0	15	19	8	0	0	0	4
L2HGDH	148	32	34	31	30	58	31	45	0	7	63	40
